Date;Value;;Cushing, OK WTI Spot Price FOB (Dollars per Barrel), Monthly
Mar-19;58.15;;
Apr-19;63.86;;
May-19;60.83;;
Jun-19;54.66;;
Jul-19;57.35;;
Aug-19;54.81;;
Sep-19;56.95;;
Oct-19;53.96;;
Nov-19;57.03;;
Dec-19;59.88;;
Jan-20;57.52;;
Feb-20;50.54;;
Mar-20;29.21;;
Apr-20;16.55;;
May-20;28.56;;
Jun-20;38.31;;
Jul-20;40.71;;
Aug-20;42.34;;
Sep-20;39.63;;
Oct-20;39.4;;
Nov-20;40.94;;
Dec-20;47.02;;
Jan-21;52;;
Feb-21;59.04;;
Mar-21;62.33;;
Apr-21;61.72;;
May-21;65.17;;
Jun-21;71.38;;
Jul-21;72.49;;
Aug-21;67.73;;
Sep-21;71.65;;
Oct-21;81.48;;
Nov-21;79.15;;
Dec-21;71.71;;
Jan-22;83.22;;
